INFO:root:Light: yellow, Obstacle: True, Speed: 93, Speed Limit 60, Direction: left, Directional Change: False, Action: ...
INFO:root:Light: yellow, Obstacle: True, Speed: 72, Speed Limit 60, Direction: backward, Directional Change: True, Action: ...
INFO:root:Light: red, Obstacle: True, Speed: 39, Speed Limit 60, Direction: backward, Directional Change: False, Action: ...
INFO:root:Light: green, Obstacle: False, Speed: 0, Speed Limit 60, Direction: forward, Directional Change: True, Action: ...
INFO:root:Light: red, Obstacle: True, Speed: 0, Speed Limit 60, Direction: right, Directional Change: False, Action: ...
INFO:root:Light: yellow, Obstacle: True, Speed: 70, Speed Limit 60, Direction: backward, Directional Change: False, Action: ...
INFO:root:Light: green, Obstacle: True, Speed: 79, Speed Limit 60, Direction: forward, Directional Change: False, Action: ...
INFO:root:Light: yellow, Obstacle: False, Speed: 44, Speed Limit 60, Direction: right, Directional Change: True, Action: ...
INFO:root:Light: green, Obstacle: False, Speed: 59, Speed Limit 60, Direction: right, Directional Change: False, Action: ...
INFO:root:Light: red, Obstacle: False, Speed: 18, Speed Limit 60, Direction: forward, Directional Change: False, Action: ...
INFO:root:Light: green, Obstacle: False, Speed: 84, Speed Limit 60, Direction: right, Directional Change: True, Action: ...
INFO:root:Light: green, Obstacle: False, Speed: 0, Speed Limit 60, Direction: forward, Directional Change: True, Action: ...
INFO:root:Light: red, Obstacle: False, Speed: 24, Speed Limit 60, Direction: right, Directional Change: False, Action: ...
INFO:root:Light: green, Obstacle: True, Speed: 12, Speed Limit 60, Direction: right, Directional Change: False, Action: ...
INFO:root:Light: red, Obstacle: True, Speed: 96, Speed Limit 60, Direction: left, Directional Change: False, Action: ...
INFO:root:Light: green, Obstacle: False, Speed: 83, Speed Limit 60, Direction: right, Directional Change: True, Action: ...
INFO:root:Light: red, Obstacle: False, Speed: 48, Speed Limit 60, Direction: left, Directional Change: False, Action: ...
INFO:root:Light: green, Obstacle: False, Speed: 59, Speed Limit 60, Direction: forward, Directional Change: False, Action: ...
INFO:root:Light: red, Obstacle: False, Speed: 4, Speed Limit 60, Direction: left, Directional Change: True, Action: ...
INFO:root:Light: yellow, Obstacle: False, Speed: 47, Speed Limit 60, Direction: backward, Directional Change: True, Action: ...
INFO:root:Light: red, Obstacle: True, Speed: 80, Speed Limit 60, Direction: backward, Directional Change: False, Action: ...
INFO:root:Light: red, Obstacle: False, Speed: 41, Speed Limit 60, Direction: forward, Directional Change: False, Action: ...
INFO:root:Light: yellow, Obstacle: False, Speed: 19, Speed Limit 60, Direction: left, Directional Change: False, Action: ...
INFO:root:Light: green, Obstacle: True, Speed: 25, Speed Limit 60, Direction: forward, Directional Change: False, Action: ...
INFO:root:Light: yellow, Obstacle: True, Speed: 93, Speed Limit 60, Direction: left, Directional Change: False, Action: ...
INFO:root:Light: red, Obstacle: True, Speed: 79, Speed Limit 60, Direction: backward, Directional Change: True, Action: ...
INFO:root:Light: yellow, Obstacle: False, Speed: 61, Speed Limit 60, Direction: right, Directional Change: False, Action: ...
INFO:root:Light: red, Obstacle: False, Speed: 49, Speed Limit 60, Direction: backward, Directional Change: False, Action: ...
INFO:root:Light: red, Obstacle: False, Speed: 9, Speed Limit 60, Direction: forward, Directional Change: True, Action: ...
INFO:root:Light: green, Obstacle: True, Speed: 39, Speed Limit 60, Direction: forward, Directional Change: False, Action: ...
INFO:root:Light: red, Obstacle: False, Speed: 15, Speed Limit 60, Direction: left, Directional Change: True, Action: ...
INFO:root:Light: yellow, Obstacle: False, Speed: 78, Speed Limit 60, Direction: forward, Directional Change: True, Action: ...
INFO:root:Light: red, Obstacle: False, Speed: 51, Speed Limit 60, Direction: backward, Directional Change: True, Action: ...
INFO:root:Light: red, Obstacle: False, Speed: 3, Speed Limit 60, Direction: left, Directional Change: True, Action: ...
INFO:root:Light: green, Obstacle: True, Speed: 3, Speed Limit 60, Direction: right, Directional Change: False, Action: ...
INFO:root:Light: red, Obstacle: True, Speed: 92, Speed Limit 60, Direction: left, Directional Change: True, Action: ...
INFO:root:Light: green, Obstacle: False, Speed: 0, Speed Limit 60, Direction: backward, Directional Change: True, Action: ...
INFO:root:Light: yellow, Obstacle: False, Speed: 86, Speed Limit 60, Direction: forward, Directional Change: True, Action: ...
INFO:root:Light: yellow, Obstacle: True, Speed: 21, Speed Limit 60, Direction: left, Directional Change: True, Action: ...
INFO:root:Light: green, Obstacle: True, Speed: 8, Speed Limit 60, Direction: backward, Directional Change: False, Action: ...
INFO:root:Light: red, Obstacle: False, Speed: 87, Speed Limit 60, Direction: backward, Directional Change: True, Action: ...
INFO:root:Light: yellow, Obstacle: False, Speed: 96, Speed Limit 60, Direction: left, Directional Change: False, Action: ...
INFO:root:Light: green, Obstacle: False, Speed: 0, Speed Limit 60, Direction: forward, Directional Change: True, Action: ...
INFO:root:Light: yellow, Obstacle: False, Speed: 17, Speed Limit 60, Direction: forward, Directional Change: False, Action: ...
INFO:root:Light: yellow, Obstacle: False, Speed: 84, Speed Limit 60, Direction: left, Directional Change: False, Action: ...
INFO:root:Light: green, Obstacle: True, Speed: 28, Speed Limit 60, Direction: backward, Directional Change: True, Action: ...
INFO:root:Light: yellow, Obstacle: False, Speed: 38, Speed Limit 60, Direction: backward, Directional Change: False, Action: ...
INFO:root:Light: yellow, Obstacle: False, Speed: 82, Speed Limit 60, Direction: backward, Directional Change: True, Action: ...
INFO:root:Light: yellow, Obstacle: False, Speed: 99, Speed Limit 60, Direction: forward, Directional Change: False, Action: ...
INFO:root:Light: green, Obstacle: False, Speed: 0, Speed Limit 60, Direction: forward, Directional Change: True, Action: ...
INFO:root:Light: green, Obstacle: True, Speed: 1, Speed Limit 60, Direction: right, Directional Change: True, Action: ...
INFO:root:Light: red, Obstacle: False, Speed: 94, Speed Limit 60, Direction: forward, Directional Change: False, Action: ...
INFO:root:Light: yellow, Obstacle: False, Speed: 24, Speed Limit 60, Direction: right, Directional Change: True, Action: ...
INFO:root:Light: yellow, Obstacle: False, Speed: 12, Speed Limit 60, Direction: right, Directional Change: True, Action: ...
INFO:root:Light: green, Obstacle: False, Speed: 59, Speed Limit 60, Direction: right, Directional Change: False, Action: ...
INFO:root:Light: yellow, Obstacle: True, Speed: 32, Speed Limit 60, Direction: forward, Directional Change: False, Action: ...
INFO:root:Light: yellow, Obstacle: True, Speed: 75, Speed Limit 60, Direction: backward, Directional Change: False, Action: ...
INFO:root:Light: yellow, Obstacle: False, Speed: 21, Speed Limit 60, Direction: right, Directional Change: False, Action: ...
INFO:root:Light: red, Obstacle: True, Speed: 61, Speed Limit 60, Direction: forward, Directional Change: True, Action: ...
INFO:root:Light: green, Obstacle: True, Speed: 73, Speed Limit 60, Direction: left, Directional Change: False, Action: ...
INFO:root:Light: yellow, Obstacle: False, Speed: 29, Speed Limit 60, Direction: forward, Directional Change: True, Action: ...
INFO:root:Light: yellow, Obstacle: True, Speed: 53, Speed Limit 60, Direction: backward, Directional Change: False, Action: ...
INFO:root:Light: red, Obstacle: False, Speed: 58, Speed Limit 60, Direction: backward, Directional Change: False, Action: ...
INFO:root:Light: green, Obstacle: True, Speed: 17, Speed Limit 60, Direction: right, Directional Change: True, Action: ...
INFO:root:Light: green, Obstacle: True, Speed: 43, Speed Limit 60, Direction: left, Directional Change: True, Action: ...
INFO:root:Light: red, Obstacle: False, Speed: 2, Speed Limit 60, Direction: left, Directional Change: False, Action: ...
INFO:root:Light: red, Obstacle: False, Speed: 26, Speed Limit 60, Direction: right, Directional Change: True, Action: ...
INFO:root:Light: red, Obstacle: False, Speed: 68, Speed Limit 60, Direction: forward, Directional Change: False, Action: ...
INFO:root:Light: red, Obstacle: True, Speed: 12, Speed Limit 60, Direction: forward, Directional Change: False, Action: ...
INFO:root:Light: green, Obstacle: False, Speed: 86, Speed Limit 60, Direction: right, Directional Change: True, Action: ...
INFO:root:Light: red, Obstacle: False, Speed: 28, Speed Limit 60, Direction: backward, Directional Change: False, Action: ...
INFO:root:Light: red, Obstacle: True, Speed: 80, Speed Limit 60, Direction: forward, Directional Change: True, Action: ...
INFO:root:Light: green, Obstacle: True, Speed: 33, Speed Limit 60, Direction: backward, Directional Change: False, Action: ...
INFO:root:Light: green, Obstacle: True, Speed: 32, Speed Limit 60, Direction: left, Directional Change: True, Action: ...
INFO:root:Light: yellow, Obstacle: False, Speed: 30, Speed Limit 60, Direction: forward, Directional Change: False, Action: ...
INFO:root:Light: yellow, Obstacle: False, Speed: 37, Speed Limit 60, Direction: backward, Directional Change: False, Action: ...
INFO:root:Light: green, Obstacle: True, Speed: 98, Speed Limit 60, Direction: left, Directional Change: True, Action: ...
INFO:root:Light: yellow, Obstacle: False, Speed: 86, Speed Limit 60, Direction: forward, Directional Change: False, Action: ...
INFO:root:Light: red, Obstacle: False, Speed: 82, Speed Limit 60, Direction: right, Directional Change: True, Action: ...
INFO:root:Light: red, Obstacle: False, Speed: 97, Speed Limit 60, Direction: backward, Directional Change: False, Action: ...
INFO:root:Light: green, Obstacle: True, Speed: 43, Speed Limit 60, Direction: left, Directional Change: True, Action: ...
INFO:root:Light: yellow, Obstacle: True, Speed: 97, Speed Limit 60, Direction: backward, Directional Change: False, Action: ...
INFO:root:Light: red, Obstacle: False, Speed: 72, Speed Limit 60, Direction: right, Directional Change: False, Action: ...
INFO:root:Light: green, Obstacle: True, Speed: 22, Speed Limit 60, Direction: right, Directional Change: False, Action: ...
INFO:root:Light: green, Obstacle: False, Speed: 59, Speed Limit 60, Direction: backward, Directional Change: False, Action: ...
INFO:root:Light: green, Obstacle: True, Speed: 94, Speed Limit 60, Direction: forward, Directional Change: True, Action: ...
INFO:root:Light: red, Obstacle: False, Speed: 43, Speed Limit 60, Direction: backward, Directional Change: True, Action: ...
INFO:root:Light: red, Obstacle: True, Speed: 53, Speed Limit 60, Direction: left, Directional Change: False, Action: ...
INFO:root:Light: red, Obstacle: False, Speed: 36, Speed Limit 60, Direction: backward, Directional Change: True, Action: ...
INFO:root:Light: yellow, Obstacle: False, Speed: 69, Speed Limit 60, Direction: forward, Directional Change: True, Action: ...
INFO:root:Light: yellow, Obstacle: True, Speed: 35, Speed Limit 60, Direction: right, Directional Change: True, Action: ...
INFO:root:Light: green, Obstacle: False, Speed: 23, Speed Limit 60, Direction: left, Directional Change: True, Action: ...
INFO:root:Light: yellow, Obstacle: False, Speed: 52, Speed Limit 60, Direction: backward, Directional Change: True, Action: ...
INFO:root:Light: yellow, Obstacle: True, Speed: 53, Speed Limit 60, Direction: forward, Directional Change: False, Action: ...
INFO:root:Light: yellow, Obstacle: False, Speed: 99, Speed Limit 60, Direction: right, Directional Change: True, Action: ...
INFO:root:Light: green, Obstacle: False, Speed: 0, Speed Limit 60, Direction: forward, Directional Change: True, Action: ...
INFO:root:Light: red, Obstacle: False, Speed: 41, Speed Limit 60, Direction: backward, Directional Change: False, Action: ...
INFO:root:Light: green, Obstacle: False, Speed: 59, Speed Limit 60, Direction: forward, Directional Change: False, Action: ...
INFO:root:Light: green, Obstacle: False, Speed: 59, Speed Limit 60, Direction: forward, Directional Change: False, Action: ...
INFO:root:Light: yellow, Obstacle: True, Speed: 36, Speed Limit 60, Direction: left, Directional Change: True, Action: ...
INFO:root:Light: yellow, Obstacle: True, Speed: 58, Speed Limit 60, Direction: forward, Directional Change: True, Action: ...
